id,old_category,old_note
3520,出行/_未分类,南京市财政局
3526,出行/_未分类,自行车
3533,出行/_未分类,
3545,出行/_未分类,美团
3546,出行/_未分类,美团
3547,出行/_未分类,高德打车
3548,出行/_未分类,
3549,出行/_未分类,
3550,出行/_未分类,高德打车
3551,出行/_未分类,高德打车
3617,出行/_未分类,共享单车
3647,出行/_未分类,南京市财政局
3649,出行/_未分类,南京市中医院
3650,出行/_未分类,高德打车
3661,出行/_未分类,南京市财政局
3662,出行/_未分类,
3663,出行/_未分类,高德打车
3672,出行/_未分类,
3675,出行/_未分类,高德打车
3688,出行/_未分类,
3689,出行/_未分类,高德打车
3690,出行/_未分类,
3692,出行/_未分类,
3707,出行/_未分类,
3709,出行/_未分类,停车场
3719,出行/_未分类,深圳市腾讯计算机系统有限公司
3720,出行/_未分类,南京市财政局
3726,出行/_未分类,转账给中国石油天然气股份有限公司
3737,出行/_未分类,
3745,出行/_未分类,
3747,出行/_未分类,罚款
3755,出行/_未分类,
3756,出行/_未分类,
3758,出行/_未分类,
3760,出行/_未分类,
3764,出行/_未分类,
3768,出行/_未分类,
3777,出行/_未分类,转账给中国石油天然气股份有限公司
3784,出行/_未分类,
3793,出行/_未分类,
3795,出行/_未分类,
3798,出行/_未分类,
3802,出行/_未分类,
3804,出行/_未分类,
3807,出行/_未分类,车享家
3810,出行/_未分类,
3816,出行/_未分类,停车
3817,出行/_未分类,
3822,出行/_未分类,
3824,出行/_未分类,
3839,出行/_未分类,
3850,出行/_未分类,
3864,出行/_未分类,
3865,出行/_未分类,
3869,出行/_未分类,
3870,出行/_未分类,
3874,出行/_未分类,
3875,出行/_未分类,
3880,出行/_未分类,
3885,出行/_未分类,
3900,出行/_未分类,泰州市长运汽车运输有限公司
3902,出行/_未分类,
3903,出行/_未分类,
3909,出行/_未分类,
3911,出行/_未分类,
3915,出行/_未分类,
3935,出行/_未分类,
3957,出行/_未分类,
3958,出行/_未分类,
3961,出行/_未分类,
3963,出行/_未分类,
3968,出行/_未分类,修车
3970,出行/_未分类,
3971,出行/_未分类,南京景安机动车安全检测有限公司
3974,出行/_未分类,
3984,出行/_未分类,
3994,出行/_未分类,
4000,出行/_未分类,
4011,出行/_未分类,
4013,出行/_未分类,
4026,出行/_未分类,
4031,出行/_未分类,
4038,出行/_未分类,
4049,出行/_未分类,泰州市长运汽车运输有限公司
4052,出行/_未分类,
4054,出行/_未分类,美团
4055,出行/_未分类,交南票务
4057,出行/_未分类,
4066,出行/_未分类,
4069,出行/_未分类,
4088,出行/_未分类,
4089,出行/_未分类,
4098,出行/_未分类,
4100,出行/_未分类,
4102,出行/_未分类,
4103,出行/_未分类,
4105,出行/_未分类,交通费
4109,出行/_未分类,
4111,出行/_未分类,美团
4112,出行/_未分类,南京绕越高速公路东南段
4113,出行/_未分类,万达广场
4123,出行/_未分类,
4125,出行/_未分类,
4128,出行/_未分类,
4133,出行/_未分类,美团
4135,出行/_未分类,
4138,出行/_未分类,
4139,出行/_未分类,
4141,出行/_未分类,
4143,出行/_未分类,
4145,出行/_未分类,
4146,出行/_未分类,哈啰出行
4151,出行/_未分类,滴滴出行
4155,出行/_未分类,
4157,出行/_未分类,
4166,出行/_未分类,
4171,出行/_未分类,
4172,出行/_未分类,美团
4212,出行/_未分类,
4221,出行/_未分类,
4241,出行/_未分类,
4262,出行/_未分类,停车费
4265,出行/_未分类,
4270,出行/_未分类,
4272,出行/_未分类,
4274,出行/_未分类,美团
4285,出行/_未分类,
4290,出行/_未分类,
4293,出行/_未分类,
4296,出行/_未分类,
4300,出行/_未分类,
4302,出行/_未分类,
4305,出行/_未分类,
4308,出行/_未分类,
4309,出行/_未分类,美团平台商户
4323,出行/_未分类,东部机场集团有限公司
4336,出行/_未分类,南京万象天地停车场
4390,出行/_未分类,停车费
4406,出行/_未分类,
4408,出行/_未分类,
4410,出行/_未分类,
4411,出行/_未分类,
4419,出行/_未分类,
4426,出行/_未分类,
4428,出行/_未分类,自行车🚴‍♀️
4438,出行/_未分类,
4446,出行/_未分类,
4448,出行/_未分类,
4452,出行/_未分类,
4453,出行/_未分类,
4468,出行/_未分类,
4470,出行/_未分类,
4476,出行/_未分类,
4478,出行/_未分类,
4485,出行/_未分类,
4487,出行/_未分类,
4488,出行/_未分类,美团
4497,出行/_未分类,
4499,出行/_未分类,
4502,出行/_未分类,
4505,出行/_未分类,
4506,出行/_未分类,
